ENB,Tx,Rx,Hr,Lat-1,Long-1
600325,43,1.81,23.75690608,12.843979,80.150405
605135,40,1.81,22.09944751,12.839298,80.155625
705135,42,1.81,23.20441989,12.843696,80.150232
606562,44,1.81,24.30939227,12.846496,80.156344
706562,41,1.81,22.6519337,12.845027,80.152258
700325,42,1.81,23.20441989,12.843803,80.150588
