Timestamp,longitude,latitude,Speed,Operatorname,Operator,CGI,Node,HR,id,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,rssi,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,SIN(LAT2),COS(LAT2),LONG2-LONG1,COS(LONG2-LONG1),SIN(LAT1)*SIN(LAT2),cos(lat1) * cos(lat2) ,cos(lat1) * cos(lat2) * cos(long2 – long1)],(sin(lat1) * sin(lat2)) + cos(lat1) * cos(lat2) * cos(long2 – long1)],ARCOS,3963*ARCOS,KILOMETERS(D2),(D2)^2,(Tx-Rx)^2+(D2)^2,D3 = sqrt((Tx-Rx)^2+(D2)^2)
2022.11.14_15.35.43,80.154006,12.843989,2,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-80,-14,7.2,-,-63,39150,1,0,229,-66,-66,5,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,7,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274066004,0.961710885,-0.002338,0.999997267,0.075772713,0.924224144,0.924221618,0.999994331,0.003367059,13.34365628,21.47453318,461.1555752,2241.151675,47.34080349
2022.11.14_15.35.52,80.154074,12.844054,1,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-74,-13,5.6,-,-63,39150,0,0,229,-59,-59,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,15,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274128514,0.961693068,-0.00227,0.999997424,0.075789996,0.924207022,0.924204641,0.999994637,0.003275014,12.97887942,20.88748172,436.2868926,2216.282993,47.07741489
2022.11.14_15.36.02,80.154143,12.844114,2,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-78,-15,9.6,-,-63,39150,35,9,229,-57,-57,5,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,23,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274186215,0.961676619,-0.002201,0.999997578,0.075805949,0.924191214,0.924188976,0.999994924,0.003186076,12.6264196,20.32025262,412.9126667,2192.908767,46.82850378
2022.11.14_15.36.07,80.154143,12.844114,2,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-78,-15,9.6,-,-63,39150,35,9,229,-57,-57,5,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,LOG_END,,,,23,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274186215,0.961676619,-0.002201,0.999997578,0.075805949,0.924191214,0.924188976,0.999994924,0.003186076,12.6264196,20.32025262,412.9126667,2192.908767,46.82850378
2022.11.14_15.36.29,80.15419,12.844182,0,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-79,-14,7.6,-,-63,39150,4,51,229,0,0,14,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,LOG START,,,,12,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274251609,0.961657972,-0.002154,0.99999768,0.075824029,0.924173294,0.92417115,0.999995179,0.003105238,12.3060571,19.80467916,392.2253165,2172.221416,46.6070962
2022.11.14_15.36.29,80.154187,12.844181,0,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-79,-14,7.6,-,-63,39150,4,51,229,-61,-61,5,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,12,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274250647,0.961658246,-0.002157,0.999997674,0.075823763,0.924173558,0.924171408,0.99999517,0.003107907,12.31663415,19.82170127,392.8998411,2172.895941,46.61433193
2022.11.14_15.36.42,80.154112,12.844238,3,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-80,-13,7.4,-,-63,39150,773,28,229,-63,-63,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,23,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274305461,0.961642612,-0.002232,0.999997509,0.075838918,0.924158533,0.924156231,0.999995149,0.003114894,12.34432384,19.8662635,394.6684256,2174.664526,46.63329846
2022.11.14_15.36.58,80.15402,12.844253,2,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-80,-14,10.6,-,-63,39150,1,7,229,-63,-63,4,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,37,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274319886,0.961638498,-0.002324,0.9999973,0.075842906,0.924154579,0.924152083,0.999994989,0.003165816,12.54612804,20.19103588,407.67793,2187.67403,46.77257776
2022.11.14_15.37.05,80.15402,12.844253,2,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-80,-14,9.8,-,-63,39150,0,0,229,-63,-63,4,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,LOG_END,,,,38,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274319886,0.961638498,-0.002324,0.9999973,0.075842906,0.924154579,0.924152083,0.999994989,0.003165816,12.54612804,20.19103588,407.67793,2187.67403,46.77257776
2022.11.14_15.37.07,80.153985,12.844226,1,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-80,-14,9.8,-,-63,39150,0,0,229,-64,-64,4,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,LOG START,,,,38,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274293921,0.961645904,-0.002359,0.999997218,0.075835727,0.924161697,0.924159125,0.999994852,0.0032087,12.71607712,20.46454242,418.7974963,2198.793596,46.89129553
2022.11.14_15.37.08,80.153977,12.844221,0,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-80,-14,9.8,-,-63,39150,0,0,229,-65,-65,4,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,38,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274289113,0.961647275,-0.002367,0.999997199,0.075834398,0.924163015,0.924160426,0.999994823,0.003217674,12.75164284,20.5217799,421.1434503,2201.13955,46.91630367
2022.11.14_15.37.11,80.153977,12.844221,0,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-80,-14,17.4,-,-63,39150,0,0,229,-65,-65,4,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,LOG_END,,,,38,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274289113,0.961647275,-0.002367,0.999997199,0.075834398,0.924163015,0.924160426,0.999994823,0.003217674,12.75164284,20.5217799,421.1434503,2201.13955,46.91630367
2022.11.14_15.37.21,80.153975,12.844214,0,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-73,-12,19.2,-,-63,39150,6,8,229,0,0,7,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,LOG START,,,,5,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274282382,0.961649195,-0.002369,0.999997194,0.075832537,0.92416486,0.924162266,0.999994803,0.003223987,12.77665933,20.56204003,422.7974902,2202.79359,46.93392792
